Gu,Korean,Foreigner
Total,9595509,267092
Jongrogu,149332,11294
Jongru,129616,10568
Yongsangu,216214,13132
Seongdonggu,280683,7539
Kwangjingu,350164,16726
Dongdaemoongu,361871,19727
Jungranggu,383958,6253
Seongbukgu,437692,13189
Gangbukgu,287523,5998
Dobonggu,304555,2846
Nowonggu,492612,5280
Eunpyonggu,463165,4411
Seodaemungu,316827,16142
Mapogu,370897,11332
Yangcheongu,431500,3433
Gangseogu,558229,6107
Gurogu,410488,24209
Guemcheongu,238305,14019
Youngdeungpogu,396841,23778
Dongjakgu,386593,11350
Kwanakgu,498000,18146
Seoucheogu,412204,4757
Gangnamgu,562526,5893
Songpagu,652908,6232
Gangdonggu,502806,4731
